層次,編號,物種名,DBH/覆蓋度
E3,1,大葉桃花心木,20.9
E3,2,大葉桃花心木,22
E3,3,大葉桃花心木,33.1
E3,4,大葉桃花心木,20.4
E3,5,大葉桃花心木,23.8
E3,6,大葉桃花心木,30.5
E3,6_1,大葉桃花心木,19.4
E3,7,大葉桃花心木,25
E3,8,大葉桃花心木,56.2
E3,9,大葉桃花心木,12.4
E3,10,大葉桃花心木,29.7
E3,11,大葉桃花心木,17.9
E3,12,大葉桃花心木,52
E3,12_1,大葉桃花心木,14.9
E3,13,大葉桃花心木,17.5
E3,13_1,大葉桃花心木,10.3
E3,14,大葉桃花心木,7.7
E3,14_1,大葉桃花心木,10.4
E2,15,大葉桃花心木,3
E2,16,山棕,7
E2,17,瑪瑙珠,1
E2,18,九節木,0.01
E2,19,變葉木,0.02
E1,20,小毛蕨,10.5
E1,21,大葉桃花心木,23.75
E1,22,變葉木,0.05
E1,23,鐵線蓮,2.5
E1,24,菝葜,0.0025
E1,25,姑婆芋,0.1025
E1,26,海金沙,0.45
E1,27,台灣山桂花,0.025
E1,28,瑪瑙珠,0.0025
E1,29,合果芋,0.075
