Quadrant,code,Species,DBH
1,1,山香圓,4.7
1,2,山香圓,4.6
1,3,山香圓,5
1,4,山香圓,4.3
1,5,山香圓,6.9
1,6,山香圓,4.5
2,7,Unkown 1,3.6
2,8_01,山香圓,31
2,8_02,山香圓,14.6
2,9,山香圓,4.6
2,10_01,山香圓,4.9
2,10_02,山香圓,4.2
2,11,山香圓,45
2,12,山香圓,4.5
2,13,山香圓,3.9
2,14,山香圓,6.4
3,15_01,山香圓,2.9
3,15_02,山香圓,2.4
3,16_01,山香圓,3
3,16_02,山香圓,1.9
3,17,山香圓,2.4
3,18,山香圓,9.8
3,19,山香圓,8.9
3,20,山香圓,3.9
4,21_01,山香圓,4.5
4,21_02,山香圓,2.5
4,22_01,山香圓,8.3
4,22_02,山香圓,3.8
4,23,Unkown 2,10.9
4,24,山香圓,3.2
4,25_01,山香圓,4.3
4,25_02,山香圓,2.6
4,26,Unkown 3,10.3
4,27_01,山香圓,2.4
4,27_02,山香圓,1.9
4,28,山香圓,10.7
