"species","Den","RD","Do","RDo"
"¤j¸­®çªá¤ß¤ì","0.5","8",68.45,36.5203009123406
"¤pªá½¯¿AÄõ","0.25","4",0.02,0.0106706503761404
"¤p¸­®á","0.25","4",0.01,0.00533532518807021
"¤s¬c","0.25","4",0.01,0.00533532518807021
"¥xÆW÷á¾ð","0.75","12",46.42,24.7665795230219
"¦å®ä","1","16",26.43,14.1012644720696
"¨â¦Õ¯ó","0.25","4",0.18,0.0960358533852638
"©h±C¨¡","0.25","4",0.01,0.00533532518807021
"«n¬üð¾ãÛµâ","0.25","4",0.07,0.0373472763164915
"­»·£","0.25","4",45.58,24.318412207224
"®üª÷¨F","0.25","4",0.01,0.00533532518807021
"²¹¬â®Ú","0.25","4",0.01,0.00533532518807021
"³±­»","0.25","4",0.01,0.00533532518807021
"¶ÂªO¾ð","0.25","4",0.01,0.00533532518807021
"¼Ø¸­²o¤û","0.25","4",0.15,0.0800298778210532
"Á£¯ï","0.5","8",0.02,0.0106706503761404
"Âû«ËÃÃ","0.25","4",0.03,0.0160059755642106
"Äa¹_¤l","0.25","4",0.01,0.00533532518807021
